target,target_qdc,energy_mev,run,total_events,selected_events,target_leading_fraction,target_direct_neighbor_leading_fraction,target_mean,target_median,target_p90,max_neighbor_median_ratio,worst_neighbor,status,note
Cal4,3,1000,1786657998,63343,47909,0.821766,0.880023,794.671,913.822,1078.82,0,,centered,"logbook"
Cal4,3,2000,1786662364,1866579,1760606,0.885341,0.92655,1708.23,1932.82,2151.82,0.00922839,Cal2,centered,"logbook"
Cal4,3,3000,1786660965,74323,72288,0.933281,0.952219,2654.35,2976.82,3235.82,0.0130464,Cal2,centered,"logbook"
Cal8,6,1000,1786714515,54535,40729,0.915269,0.96651,795.845,903.504,1075.5,0,,centered,"logbook"
Cal8,6,2000,1786713224,51913,48738,0.561472,0.990849,1696.09,1910.5,2132.5,0,,centered,"logbook"
Cal8,6,3000,1786711761,51008,49378,0.531147,0.995646,2622.31,2926.5,3189.5,0,,centered,"logbook; preferred over suspicious 1786708920"
Cal19,15,1000,1786723178,46714,33190,0.8605,0.864296,453.669,498.194,601.194,0,,centered,"logbook"
Cal19,15,2000,1786724681,49674,46152,0.920957,0.922192,934.823,1021.19,1169.19,0.0102858,Cal9,centered,"logbook"
Cal19,15,3000,1786725412,47546,45770,0.961831,0.962792,1422.84,1545.19,1731.19,0.0152109,Cal9,centered,"logbook"
Cal9,7,1000,1786741940,51918,39397,0.141102,0.876564,859.02,1007.5,1200.5,0,,centered,"logbook"
Cal9,7,2000,1786739830,92689,88332,0.393946,0.939512,1923.58,2176.5,2410.5,0.00159383,Cal13,centered,"logbook"
Cal9,7,3000,1786726168,621391,603850,0.87093,0.97743,2999.05,3330.5,3603.5,0.00314336,Cal13,centered,"logbook"
Cal13,11,1000,1786743090,50587,36192,0.107897,0.91418,627.83,704.469,845.469,0,,centered,"logbook"
Cal13,11,2000,1786744038,50373,46722,0.231989,0.959227,1342.21,1473.47,1669.47,0.00102055,Cal9,centered,"logbook"
Cal13,11,3000,1786744833,57401,55273,0.295624,0.9835,2044.66,2229.47,2479.47,0.00381425,Cal9,centered,"logbook"
Cal11,9,1000,1786747305,54196,38242,0.0225668,0.869698,660.644,748.828,885.828,0,,centered,"logbook"
Cal11,9,2000,1786746501,50280,46553,0.101755,0.913024,1403.68,1567.83,1746.83,0.0098665,Cal13,centered,"logbook"
Cal11,9,3000,1786745756,52065,50117,0.217092,0.946765,2168.65,2401.83,2615.83,0.0143511,Cal13,centered,"logbook"
Cal14,12,1000,1786748346,49937,37541,0.0344157,0.819877,835.663,972.823,1163.82,0,,centered,"logbook"
Cal14,12,2000,1786750147,50381,47792,0.175531,0.882449,1806.84,2050.82,2286.82,0.0104854,Cal9,centered,"logbook"
Cal14,12,3000,1786750887,2095200,2038487,0.232302,0.930402,2776.93,3114.82,3400.82,0.0142877,Cal9,centered,"logbook"
Cal2,2,1000,1786781408,55253,41386,0.122892,0.824337,775.467,901.837,1081.84,0.00167126,Cal0,centered,"logbook"
Cal2,2,2000,1786780617,54909,52082,0.322511,0.888464,1699.25,1931.84,2158.84,0.00424136,Cal19,centered,"logbook"
Cal2,2,3000,1786779710,57950,56394,0.447051,0.941394,2651.48,2969.84,3236.84,0.00713629,Cal19,centered,"logbook"
Cal0,0,1000,1786782465,50390,38462,0.123629,0.842572,760.497,868.507,1036.51,0,,centered,"logbook; Cal0 later noted problematic"
Cal0,0,2000,1786787514,52627,50021,0.294376,0.88001,1596.1,1805.51,2038.51,0.00969456,Cal8,centered,"logbook; Cal0 later noted problematic"
Cal0,0,3000,1786788903,75301,73337,0.434815,0.925058,2439.71,2736.51,3022.51,0.0129741,Cal8,centered,"logbook; Cal0 later noted problematic"
Cal10,8,1000,1786793439,51744,39023,0.11196,0.871947,673.937,744.823,900.823,0.0141251,Cal17,centered,"inferred missing logbook run number from file sequence"
Cal10,8,2000,1786791937,56256,52320,0.23427,0.874293,1356.9,1522.82,1760.82,0.0292356,Cal17,centered,"logbook"
Cal10,8,3000,1786790499,68453,66081,0.403369,0.908067,2049.8,2300.82,2618.82,0.0349965,Cal17,centered,"logbook"
Cal5,4,1000,1786794828,53044,39409,0.130173,0.130605,781.405,891.7,1064.7,2.63092,Cal1,check_alignment,"logbook"
Cal5,4,2000,1786796090,51109,47556,0.312411,0.312747,1647.15,1887.7,2122.7,1.28516,Cal1,check_alignment,"logbook"
Cal5,4,3000,1786797061,52630,50756,0.438451,0.438648,2523.81,2880.7,3164.7,0.812819,Cal1,check_alignment,"logbook"
Cal1,1,1000,1786800039,50335,36255,0.849979,0.85613,589.796,658.988,784.988,0.0038544,Cal18,centered,"logbook"
Cal1,1,2000,1786799056,50791,46610,0.870908,0.873482,1231.19,1392.49,1570.99,0.0305496,Cal18,centered,"logbook"
Cal1,1,3000,1786798201,51149,48937,0.909312,0.910865,1899.84,2139.99,2364.99,0.0385703,Cal18,centered,"logbook"
