target,target_qdc,energy_mev,run,total_events,selected_events,leading_events,target_global_leading_fraction,target_direct_neighbor_leading_fraction,neighbor,neighbor_qdc,neighbor_mean,neighbor_median,neighbor_p90,neighbor_positive_fraction,target_mean,target_median,target_p90
Cal4,3,1000,1786657998,63343,47909,39370,0.821766,0.880023,Cal5,4,30.0635,-11.3005,52.6995,0.0743493,794.671,913.822,1078.82
Cal4,3,1000,1786657998,63343,47909,39370,0.821766,0.880023,Cal2,2,54.595,-3.16316,161.837,0.135256,794.671,913.822,1078.82
Cal4,3,1000,1786657998,63343,47909,39370,0.821766,0.880023,Cal17,13,40.1178,-1.47933,88.5207,0.0935315,794.671,913.822,1078.82
Cal4,3,1000,1786657998,63343,47909,39370,0.821766,0.880023,Cal18,14,-14.7531,-14.46,-5.46,0.000417458,794.671,913.822,1078.82
Cal4,3,2000,1786662364,1866579,1760606,1558736,0.885341,0.92655,Cal5,4,18.436,-8.30048,29.6995,0.0397079,1708.23,1932.82,2151.82
Cal4,3,2000,1786662364,1866579,1760606,1558736,0.885341,0.92655,Cal2,2,138.123,17.8368,344.837,0.219527,1708.23,1932.82,2151.82
Cal4,3,2000,1786662364,1866579,1760606,1558736,0.885341,0.92655,Cal17,13,40.4708,2.52067,65.5207,0.0715237,1708.23,1932.82,2151.82
Cal4,3,2000,1786662364,1866579,1760606,1558736,0.885341,0.92655,Cal18,14,-13.774,-14.46,-8.46,0.000541291,1708.23,1932.82,2151.82
Cal4,3,3000,1786660965,74323,72288,67465,0.933281,0.952219,Cal5,4,14.3135,-5.30048,30.6995,0.03125,2654.35,2976.82,3235.82
Cal4,3,3000,1786660965,74323,72288,67465,0.933281,0.952219,Cal2,2,185.232,38.8368,390.837,0.283436,2654.35,2976.82,3235.82
Cal4,3,3000,1786660965,74323,72288,67465,0.933281,0.952219,Cal17,13,30.4057,6.52067,57.5207,0.0503403,2654.35,2976.82,3235.82
Cal4,3,3000,1786660965,74323,72288,67465,0.933281,0.952219,Cal18,14,-13.8443,-13.46,-4.46,0.000539509,2654.35,2976.82,3235.82
Cal8,6,1000,1786714515,54535,40729,37278,0.915269,0.96651,Cal0,0,30.5451,-9.4928,69.5072,0.0813671,795.845,903.504,1075.5
Cal8,6,1000,1786714515,54535,40729,37278,0.915269,0.96651,Cal19,15,-13.6038,-13.8064,-4.80639,0.000171868,795.845,903.504,1075.5
Cal8,6,2000,1786713224,51913,48738,27365,0.561472,0.990849,Cal0,0,21.1025,-5.4928,40.5072,0.0448931,1696.09,1910.5,2132.5
Cal8,6,2000,1786713224,51913,48738,27365,0.561472,0.990849,Cal19,15,-13.6539,-13.8064,-3.80639,0.000102589,1696.09,1910.5,2132.5
Cal8,6,3000,1786711761,51008,49378,26227,0.531147,0.995646,Cal0,0,18.5582,-1.4928,42.5072,0.0370408,2622.31,2926.5,3189.5
Cal8,6,3000,1786711761,51008,49378,26227,0.531147,0.995646,Cal19,15,-13.6881,-13.8064,-4.80639,0.000344283,2622.31,2926.5,3189.5
Cal19,15,1000,1786723178,46714,33190,28560,0.8605,0.864296,Cal2,2,29.9378,-7.16316,69.8368,0.0820127,453.669,498.194,601.194
Cal19,15,1000,1786723178,46714,33190,28560,0.8605,0.864296,Cal8,6,24.6926,-9.49641,70.5036,0.079994,453.669,498.194,601.194
Cal19,15,1000,1786723178,46714,33190,28560,0.8605,0.864296,Cal9,7,56.0837,-3.49625,160.504,0.132148,453.669,498.194,601.194
Cal19,15,2000,1786724681,49674,46152,42504,0.920957,0.922192,Cal2,2,26.8058,-4.16316,48.8368,0.0553822,934.823,1021.19,1169.19
Cal19,15,2000,1786724681,49674,46152,42504,0.920957,0.922192,Cal8,6,24.9375,-5.49641,50.5036,0.0598457,934.823,1021.19,1169.19
Cal19,15,2000,1786724681,49674,46152,42504,0.920957,0.922192,Cal9,7,116.691,10.5037,237.504,0.178172,934.823,1021.19,1169.19
Cal19,15,3000,1786725412,47546,45770,44023,0.961831,0.962792,Cal2,2,22.4524,-0.163161,48.8368,0.041359,1422.84,1545.19,1731.19
Cal19,15,3000,1786725412,47546,45770,44023,0.961831,0.962792,Cal8,6,18.1481,-1.49641,42.5036,0.0388683,1422.84,1545.19,1731.19
Cal19,15,3000,1786725412,47546,45770,44023,0.961831,0.962792,Cal9,7,115.483,23.5037,198.504,0.190933,1422.84,1545.19,1731.19
Cal9,7,1000,1786741940,51918,39397,5559,0.141102,0.876564,Cal14,12,38.7822,-10.1774,77.8226,0.0871386,859.02,1007.5,1200.5
Cal9,7,1000,1786741940,51918,39397,5559,0.141102,0.876564,Cal19,15,20.1282,-8.80639,66.1936,0.0817321,859.02,1007.5,1200.5
Cal9,7,1000,1786741940,51918,39397,5559,0.141102,0.876564,Cal13,11,45.9268,-5.53103,145.469,0.120161,859.02,1007.5,1200.5
Cal9,7,2000,1786739830,92689,88332,34798,0.393946,0.939512,Cal14,12,29.2816,-5.17739,49.8226,0.0555291,1923.58,2176.5,2410.5
Cal9,7,2000,1786739830,92689,88332,34798,0.393946,0.939512,Cal19,15,22.5982,-6.80639,43.1936,0.0583028,1923.58,2176.5,2410.5
Cal9,7,2000,1786739830,92689,88332,34798,0.393946,0.939512,Cal13,11,76.3133,3.46897,146.469,0.130881,1923.58,2176.5,2410.5
Cal9,7,3000,1786726168,621391,603850,525911,0.87093,0.97743,Cal14,12,24.7212,-1.17739,51.8226,0.0469968,2999.05,3330.5,3603.5
Cal9,7,3000,1786726168,621391,603850,525911,0.87093,0.97743,Cal19,15,15.6574,-2.80639,37.1936,0.0363252,2999.05,3330.5,3603.5
Cal9,7,3000,1786726168,621391,603850,525911,0.87093,0.97743,Cal13,11,63.6224,10.469,114.469,0.115045,2999.05,3330.5,3603.5
Cal13,11,1000,1786743090,50587,36192,3905,0.107897,0.91418,Cal11,9,26.2534,-8.17184,57.8282,0.0751271,627.83,704.469,845.469
Cal13,11,1000,1786743090,50587,36192,3905,0.107897,0.91418,Cal9,7,50.2613,-6.49625,128.504,0.11381,627.83,704.469,845.469
Cal13,11,2000,1786744038,50373,46722,10839,0.231989,0.959227,Cal11,9,21.9324,-5.17184,38.8282,0.0446043,1342.21,1473.47,1669.47
Cal13,11,2000,1786744038,50373,46722,10839,0.231989,0.959227,Cal9,7,71.8913,1.50375,110.504,0.107936,1342.21,1473.47,1669.47
Cal13,11,3000,1786744833,57401,55273,16340,0.295624,0.9835,Cal11,9,20.2815,0.828163,42.8282,0.0369439,2044.66,2229.47,2479.47
Cal13,11,3000,1786744833,57401,55273,16340,0.295624,0.9835,Cal9,7,58.889,8.50375,95.5037,0.0950374,2044.66,2229.47,2479.47
Cal11,9,1000,1786747305,54196,38242,863,0.0225668,0.869698,Cal7,5,29.9917,-9.17692,56.8231,0.0742377,660.644,748.828,885.828
Cal11,9,1000,1786747305,54196,38242,863,0.0225668,0.869698,Cal13,11,44.7169,-3.53103,148.469,0.129151,660.644,748.828,885.828
Cal11,9,1000,1786747305,54196,38242,863,0.0225668,0.869698,Cal14,12,41.8861,-9.17739,110.823,0.105068,660.644,748.828,885.828
Cal11,9,2000,1786746501,50280,46553,4737,0.101755,0.913024,Cal7,5,19.7828,-6.17692,35.8231,0.0415655,1403.68,1567.83,1746.83
Cal11,9,2000,1786746501,50280,46553,4737,0.101755,0.913024,Cal13,11,107.564,15.469,274.469,0.200309,1403.68,1567.83,1746.83
Cal11,9,2000,1786746501,50280,46553,4737,0.101755,0.913024,Cal14,12,61.4959,-1.17739,99.8226,0.0999076,1403.68,1567.83,1746.83
Cal11,9,3000,1786745756,52065,50117,10880,0.217092,0.946765,Cal7,5,16.4468,-3.17692,37.8231,0.0331624,2168.65,2401.83,2615.83
Cal11,9,3000,1786745756,52065,50117,10880,0.217092,0.946765,Cal13,11,142.621,34.469,296.469,0.249935,2168.65,2401.83,2615.83
Cal11,9,3000,1786745756,52065,50117,10880,0.217092,0.946765,Cal14,12,48.5693,5.82261,83.8226,0.0821079,2168.65,2401.83,2615.83
Cal14,12,1000,1786748346,49937,37541,1292,0.0344157,0.819877,Cal18,14,30.5691,-9.46,62.54,0.0791401,835.663,972.823,1163.82
Cal14,12,1000,1786748346,49937,37541,1292,0.0344157,0.819877,Cal9,7,69.1332,-1.49625,208.504,0.148771,835.663,972.823,1163.82
Cal14,12,1000,1786748346,49937,37541,1292,0.0344157,0.819877,Cal2,2,35.0727,-8.16316,95.8368,0.0976799,835.663,972.823,1163.82
Cal14,12,1000,1786748346,49937,37541,1292,0.0344157,0.819877,Cal11,9,45.9191,-2.17184,124.828,0.110892,835.663,972.823,1163.82
Cal14,12,2000,1786750147,50381,47792,8389,0.175531,0.882449,Cal18,14,17.2859,-6.46,36.54,0.0403415,1806.84,2050.82,2286.82
