cal,energy_mev,run,file_exists,note
Cal4,1000,1786657998,yes,"logbook"
Cal4,2000,1786662364,yes,"logbook"
Cal4,3000,1786660965,yes,"logbook"
Cal8,1000,1786714515,yes,"logbook"
Cal8,2000,1786713224,yes,"logbook"
Cal8,3000,1786711761,yes,"logbook; preferred over suspicious 1786708920"
Cal19,1000,1786723178,yes,"logbook"
Cal19,2000,1786724681,yes,"logbook"
Cal19,3000,1786725412,yes,"logbook"
Cal9,1000,1786741940,yes,"logbook"
Cal9,2000,1786739830,yes,"logbook"
Cal9,3000,1786726168,yes,"logbook"
Cal13,1000,1786743090,yes,"logbook"
Cal13,2000,1786744038,yes,"logbook"
Cal13,3000,1786744833,yes,"logbook"
Cal11,1000,1786747305,yes,"logbook"
Cal11,2000,1786746501,yes,"logbook"
Cal11,3000,1786745756,yes,"logbook"
Cal14,1000,1786748346,yes,"logbook"
Cal14,2000,1786750147,yes,"logbook"
Cal14,3000,1786750887,yes,"logbook"
Cal2,1000,1786781408,yes,"logbook"
Cal2,2000,1786780617,yes,"logbook"
Cal2,3000,1786779710,yes,"logbook"
Cal0,1000,1786782465,yes,"logbook; Cal0 later noted problematic"
Cal0,2000,1786787514,yes,"logbook; Cal0 later noted problematic"
Cal0,3000,1786788903,yes,"logbook; Cal0 later noted problematic"
Cal10,1000,1786793439,yes,"inferred missing logbook run number from file sequence"
Cal10,2000,1786791937,yes,"logbook"
Cal10,3000,1786790499,yes,"logbook"
Cal5,1000,1786794828,yes,"logbook"
Cal5,2000,1786796090,yes,"logbook"
Cal5,3000,1786797061,yes,"logbook"
Cal1,1000,1786800039,yes,"logbook"
Cal1,2000,1786799056,yes,"logbook"
Cal1,3000,1786798201,yes,"logbook"
Cal12,1000,1786801341,yes,"logbook"
Cal12,2000,1786802590,yes,"logbook"
Cal12,3000,1786803907,yes,"logbook"
Cal17,1000,1786807867,yes,"logbook"
Cal17,2000,1786806354,yes,"logbook"
Cal17,3000,1786805198,yes,"logbook"
