cal,qdc_channel,n_points,slope_mev_per_adc,offset_mev,adc_at_1gev,adc_at_2gev,adc_at_3gev,note
Cal0,QDC0_ch0,3,1.03554,0,983.202,1934.79,2888.79,"Cal0 later noted problematic in logbook"
Cal1,QDC0_ch1,3,1.33691,0,738.892,1492.83,2249.08,""
Cal10,QDC0_ch8,3,1.20982,0,833.611,1661.37,2471.8,""
Cal11,QDC0_ch9,3,1.20183,0,824.015,1660.36,2501.36,""
Cal12,QDC0_ch10,3,1.50647,0,685.113,1328.97,1983.13,""
Cal13,QDC0_ch11,3,1.28553,0,777.393,1561.96,2329.68,""
Cal14,QDC0_ch12,3,0.917709,0,1095.61,2189.85,3259.95,""
Cal17,QDC0_ch13,3,1.08498,0,951.196,1852.2,2748.83,""
Cal19,QDC0_ch15,3,1.84018,0,554.663,1094.59,1621.2,""
Cal2,QDC0_ch2,3,0.967002,0,1023.93,2060.6,3110.8,""
Cal4,QDC0_ch3,0,0,0,0,0,0,""
Cal5,QDC0_ch4,3,0.985489,0,1009.71,2026.7,3047.66,"Cal5 alignment check failed; Cal1 was high in these runs"
Cal8,QDC0_ch6,3,0.981457,0,1008.27,2040.7,3058.24,""
Cal9,QDC0_ch7,3,0.866201,0,1135.44,2306.38,3471.32,""
