cal,qdc_channel,energy_mev,run,total_events,fs0fs1_events,hist_entries,gaussian_mean_adc,gaussian_mean_error,gaussian_sigma_adc,gaussian_sigma_error,chi2,ndf,note
Cal4,QDC0_ch3,1000,1786657998,63343,0,0,0,0,0,0,0,0,"logbook"
Cal4,QDC0_ch3,2000,1786662364,1866579,0,0,0,0,0,0,0,0,"logbook"
Cal4,QDC0_ch3,3000,1786660965,74323,0,0,0,0,0,0,0,0,"logbook"
Cal8,QDC0_ch6,1000,1786714515,54535,265,242,1008.27,7.18841,84.3126,8.84861,44.26,40,"logbook"
Cal8,QDC0_ch6,2000,1786713224,51913,562,560,2040.7,5.47715,109.523,6.02179,59.3562,59,"logbook"
Cal8,QDC0_ch6,3000,1786711761,51008,975,971,3058.24,5.5909,145.894,5.05046,80.0476,68,"logbook; preferred over suspicious 1786708920"
Cal19,QDC0_ch15,1000,1786723178,46714,475,435,554.663,3.37086,61.8482,2.97411,44.4654,40,"logbook"
Cal19,QDC0_ch15,2000,1786724681,49674,1055,1034,1094.59,2.95376,86.549,2.32198,68.4231,58,"logbook"
Cal19,QDC0_ch15,3000,1786725412,47546,1615,1609,1621.2,3.22372,118.003,2.53094,73.7233,68,"logbook"
Cal9,QDC0_ch7,1000,1786741940,51918,467,439,1135.44,5.09305,91.1643,4.64136,54.7701,50,"logbook"
Cal9,QDC0_ch7,2000,1786739830,92689,1999,1979,2306.38,3.31891,133.138,2.63655,87.0544,68,"logbook"
Cal9,QDC0_ch7,3000,1786726168,621391,21685,21623,3471.32,1.32619,166.16,1.27476,92.8024,68,"logbook"
Cal13,QDC0_ch11,1000,1786743090,50587,543,493,777.393,4.61047,82.5098,4.30068,55.4099,48,"logbook"
Cal13,QDC0_ch11,2000,1786744038,50373,1098,1086,1561.96,3.93718,117.739,3.31511,63.1504,67,"logbook"
Cal13,QDC0_ch11,3000,1786744833,57401,1923,1913,2329.68,4.07399,151.414,3.64111,76.8656,68,"logbook"
Cal11,QDC0_ch9,1000,1786747305,54196,524,485,824.015,3.44362,67.0883,2.95543,52.6093,47,"logbook"
Cal11,QDC0_ch9,2000,1786746501,50280,1116,1100,1660.36,3.25471,99.5711,2.67091,56.086,59,"logbook"
Cal11,QDC0_ch9,3000,1786745756,52065,1847,1838,2501.36,3.16329,122.662,2.50907,65.0945,66,"logbook"
Cal14,QDC0_ch12,1000,1786748346,49937,461,434,1095.61,5.4614,94.4714,4.5757,53.8211,50,"logbook"
Cal14,QDC0_ch12,2000,1786750147,50381,1076,1063,2189.85,4.46463,124.123,3.53212,69.1204,60,"logbook"
Cal14,QDC0_ch12,3000,1786750887,2095200,73085,72859,3259.95,0.716529,164.602,0.676193,132.467,68,"logbook"
Cal2,QDC0_ch2,1000,1786781408,55253,534,501,1023.93,4.70467,90.7231,4.44296,59.4905,54,"logbook"
Cal2,QDC0_ch2,2000,1786780617,54909,1200,1188,2060.6,3.95155,121.184,3.25515,69.0154,63,"logbook"
Cal2,QDC0_ch2,3000,1786779710,57950,2057,2055,3110.8,4.59555,153.65,3.68645,49.8776,65,"logbook"
Cal0,QDC0_ch0,1000,1786782465,50390,488,459,983.202,4.50673,83.8423,4.48323,49.3174,49,"logbook; Cal0 later noted problematic"
Cal0,QDC0_ch0,2000,1786787514,52627,1161,1145,1934.79,4.48067,129.116,3.86371,62.4204,60,"logbook; Cal0 later noted problematic"
Cal0,QDC0_ch0,3000,1786788903,75301,2652,2643,2888.79,3.61339,158.783,3.19413,51.1116,68,"logbook; Cal0 later noted problematic"
Cal10,QDC0_ch8,1000,1786793439,51744,478,441,833.611,4.48223,81.9327,3.77597,51.7358,45,"inferred missing logbook run number from file sequence"
Cal10,QDC0_ch8,2000,1786791937,56256,1194,1177,1661.37,4.17338,125.767,3.79033,77.9891,63,"logbook"
Cal10,QDC0_ch8,3000,1786790499,68453,2421,2410,2471.8,4.37409,174.69,4.21254,72.4525,68,"logbook"
Cal5,QDC0_ch4,1000,1786794828,53044,516,483,1009.71,4.62635,87.5477,4.15162,48.0626,48,"logbook; alignment check failed, Cal1 high"
Cal5,QDC0_ch4,2000,1786796090,51109,1141,1126,2026.7,3.9031,116.824,3.41806,69.1677,61,"logbook; alignment check failed, Cal1 high"
Cal5,QDC0_ch4,3000,1786797061,52630,1863,1860,3047.66,3.76049,142.241,3.42084,70.2711,68,"logbook; alignment check failed, Cal1 high"
Cal1,QDC0_ch1,1000,1786800039,50335,537,507,738.892,3.2472,66.6761,2.72412,40.8356,45,"logbook"
Cal1,QDC0_ch1,2000,1786799056,50791,1102,1082,1492.83,3.19095,96.1896,2.59725,48.2126,56,"logbook"
Cal1,QDC0_ch1,3000,1786798201,51149,1874,1869,2249.08,2.85757,114.498,2.29639,64.408,67,"logbook"
Cal12,QDC0_ch10,1000,1786801341,54129,487,444,685.113,4.45279,83.1071,3.97957,42.2835,50,"logbook"
Cal12,QDC0_ch10,2000,1786802590,50889,1062,1040,1328.97,4.76349,137.585,4.01771,58.7811,68,"logbook"
Cal12,QDC0_ch10,3000,1786803907,50661,1781,1769,1983.13,5.17922,173.669,4.75589,75.351,68,"logbook"
Cal17,QDC0_ch13,1000,1786807867,58556,545,514,951.196,4.94713,97.7364,4.81448,62.8914,54,"logbook"
Cal17,QDC0_ch13,2000,1786806354,51081,1155,1143,1852.2,4.76603,138.544,4.28594,65.9225,67,"logbook"
Cal17,QDC0_ch13,3000,1786805198,52349,1802,1798,2748.83,5.69692,171.102,5.34653,86.6247,65,"logbook"
