cal,qdc_channel,normal_slope,fs_slope,slope_diff,slope_diff_percent,normal_adc_1gev,fs_adc_1gev,normal_adc_2gev,fs_adc_2gev,normal_adc_3gev,fs_adc_3gev,note
Cal0,QDC0_ch0,1.07016,1.03554,-0.034620000000000095,-3.2350302758466114,912.136,983.202,1867.01,1934.79,2811.78,2888.79,Cal0 later noted problematic in logbook
Cal1,QDC0_ch1,1.37966,1.33691,-0.042750000000000066,-3.098589507559838,683.392,738.892,1434.18,1492.83,2197.41,2249.08,
Cal2,QDC0_ch2,0.996501,0.967002,-0.029498999999999942,-2.960257942540945,957.63,1023.93,1993.48,2060.6,3033.91,3110.8,
Cal4,QDC0_ch3,0.995437,0.0,-0.995437,-100.0,959.818,0,1990.19,0,3040.31,0,
Cal5,QDC0_ch4,1.0171,0.985489,-0.031610999999999945,-3.1079539868252826,938.962,1009.71,1959.79,2026.7,2967.91,3047.66,Cal5 alignment check failed; Cal1 was high in these runs
Cal8,QDC0_ch6,1.01215,0.981457,-0.03069300000000008,-3.0324556636862203,943.674,1008.27,1963.83,2040.7,2985.99,3058.24,
Cal9,QDC0_ch7,0.890041,0.866201,-0.023839999999999972,-2.6785282925168588,1071.8,1135.44,2235.38,2306.38,3394.68,3471.32,
Cal10,QDC0_ch8,1.2599,1.20982,-0.050080000000000124,-3.974918644336862,770.119,833.611,1581.42,1661.37,2392.69,2471.8,
Cal11,QDC0_ch9,1.23658,1.20183,-0.03475000000000006,-2.8101699849585193,781.876,824.015,1603.16,1660.36,2443.95,2501.36,
Cal12,QDC0_ch10,1.57131,1.50647,-0.06484000000000001,-4.126493180849101,620.593,685.113,1274.67,1328.97,1913.13,1983.13,
Cal13,QDC0_ch11,1.32502,1.28553,-0.039490000000000025,-2.980332372341551,735.418,777.393,1505.81,1561.96,2272.74,2329.68,
Cal14,QDC0_ch12,0.944357,0.917709,-0.026648000000000005,-2.8218142079743154,1036.13,1095.61,2111.9,2189.85,3188.11,3259.95,
Cal17,QDC0_ch13,1.12082,1.08498,-0.03583999999999987,-3.197658856908324,886.814,951.196,1788.53,1852.2,2675.64,2748.83,
Cal19,QDC0_ch15,1.91565,1.84018,-0.07547000000000015,-3.939654947406893,514.552,554.663,1041.65,1094.59,1570.08,1621.2,
