cal,qdc_channel,n_points,slope_mev_per_adc,offset_mev,adc_at_1gev,adc_at_2gev,adc_at_3gev,note
Cal0,QDC0_ch0,3,1.07016,0,912.136,1867.01,2811.78,"Cal0 later noted problematic in logbook"
Cal1,QDC0_ch1,3,1.37966,0,683.392,1434.18,2197.41,""
Cal10,QDC0_ch8,3,1.2599,0,770.119,1581.42,2392.69,""
Cal11,QDC0_ch9,3,1.23658,0,781.876,1603.16,2443.95,""
Cal12,QDC0_ch10,3,1.57131,0,620.593,1274.67,1913.13,""
Cal13,QDC0_ch11,3,1.32502,0,735.418,1505.81,2272.74,""
Cal14,QDC0_ch12,3,0.944357,0,1036.13,2111.9,3188.11,""
Cal17,QDC0_ch13,3,1.12082,0,886.814,1788.53,2675.64,""
Cal19,QDC0_ch15,3,1.91565,0,514.552,1041.65,1570.08,""
Cal2,QDC0_ch2,3,0.996501,0,957.63,1993.48,3033.91,""
Cal4,QDC0_ch3,3,0.995437,0,959.818,1990.19,3040.31,""
Cal5,QDC0_ch4,3,1.0171,0,938.962,1959.79,2967.91,"Cal5 alignment check failed; Cal1 was high in these runs"
Cal8,QDC0_ch6,3,1.01215,0,943.674,1963.83,2985.99,""
Cal9,QDC0_ch7,3,0.890041,0,1071.8,2235.38,3394.68,""
