cal,qdc_channel,energy_mev,run,total_events,fs0fs1_events,hist_entries,gaussian_mean_adc,gaussian_mean_error,gaussian_sigma_adc,gaussian_sigma_error,chi2,ndf,note
Cal4,QDC0_ch3,1000,1786657998,63343,63343,47909,959.818,0.756395,109.164,0.529118,2369.41,66,"logbook"
Cal4,QDC0_ch3,2000,1786662364,1866579,1866579,1.76061e+06,1990.19,0.149235,147.397,0.122154,21015.5,68,"logbook"
Cal4,QDC0_ch3,3000,1786660965,74323,74323,72288,3040.31,0.912288,181.396,0.940071,484.35,68,"logbook"
Cal8,QDC0_ch6,1000,1786714515,54535,54535,40729,943.674,0.843329,119.755,0.591713,1475.11,68,"logbook"
Cal8,QDC0_ch6,2000,1786713224,51913,51913,48738,1963.83,0.905712,152.425,0.769722,439.689,68,"logbook"
Cal8,QDC0_ch6,3000,1786711761,51008,51008,49378,2985.99,1.12348,184.243,1.15766,214.64,68,"logbook; preferred over suspicious 1786708920"
Cal19,QDC0_ch15,1000,1786723178,46714,46714,33190,514.552,0.611037,78.187,0.454453,4567.44,65,"logbook"
Cal19,QDC0_ch15,2000,1786724681,49674,49674,46152,1041.65,0.648814,110.389,0.493774,1415.59,67,"logbook"
Cal19,QDC0_ch15,3000,1786725412,47546,47546,45770,1570.08,0.777909,138.188,0.644944,575.164,68,"logbook"
Cal9,QDC0_ch7,1000,1786741940,51918,51918,39397,1071.8,0.916064,122.343,0.684888,1454.59,68,"logbook"
Cal9,QDC0_ch7,2000,1786739830,92689,92689,88332,2235.38,0.711225,159.062,0.628178,646.093,68,"logbook"
Cal9,QDC0_ch7,3000,1786726168,621391,621391,603850,3394.68,0.349747,194.713,0.37589,1037.05,68,"logbook"
Cal13,QDC0_ch11,1000,1786743090,50587,50587,36192,735.418,0.749483,99.8175,0.538698,2092.07,68,"logbook"
Cal13,QDC0_ch11,2000,1786744038,50373,50373,46722,1505.81,0.818971,143.874,0.717576,771.236,68,"logbook"
Cal13,QDC0_ch11,3000,1786744833,57401,57401,55273,2272.74,1.00835,180.786,1.01288,236.628,68,"logbook"
Cal11,QDC0_ch9,1000,1786747305,54196,54196,38242,781.876,0.730294,95.1258,0.541159,2728.05,66,"logbook"
Cal11,QDC0_ch9,2000,1786746501,50280,50280,46553,1603.16,0.770293,128.036,0.623042,1335.07,68,"logbook"
Cal11,QDC0_ch9,3000,1786745756,52065,52065,50117,2443.95,0.857799,153.026,0.765987,528.02,68,"logbook"
Cal14,QDC0_ch12,1000,1786748346,49937,49937,37541,1036.13,0.897363,119.963,0.65313,1134.27,68,"logbook"
Cal14,QDC0_ch12,2000,1786750147,50381,50381,47792,2111.9,0.993497,163.49,0.931609,594.554,68,"logbook"
Cal14,QDC0_ch12,3000,1786750887,2095200,2095200,2.03849e+06,3188.11,0.198154,195.249,0.207643,4459.43,68,"logbook"
Cal2,QDC0_ch2,1000,1786781408,55253,55253,41386,957.63,0.861823,117.073,0.614201,1695.03,68,"logbook"
Cal2,QDC0_ch2,2000,1786780617,54909,54909,52082,1993.48,0.905173,152.568,0.765584,510.888,68,"logbook"
Cal2,QDC0_ch2,3000,1786779710,57950,57950,56394,3033.91,1.07181,183.822,1.06946,242.578,68,"logbook"
Cal0,QDC0_ch0,1000,1786782465,50390,50390,38462,912.136,0.861493,113.144,0.568016,1587.33,68,"logbook; Cal0 later noted problematic"
Cal0,QDC0_ch0,2000,1786787514,52627,52627,50021,1867.01,0.975549,155.703,0.792737,590.72,68,"logbook; Cal0 later noted problematic"
Cal0,QDC0_ch0,3000,1786788903,75301,75301,73337,2811.78,1.04428,191.728,1.04789,203.484,68,"logbook; Cal0 later noted problematic"
Cal10,QDC0_ch8,1000,1786793439,51744,51744,39023,770.119,0.821345,115.219,0.594132,1912.81,68,"inferred missing logbook run number from file sequence"
Cal10,QDC0_ch8,2000,1786791937,56256,56256,52320,1581.42,0.976333,164.303,0.881455,593.307,68,"logbook"
Cal10,QDC0_ch8,3000,1786790499,68453,68453,66081,2392.69,1.33047,206.776,1.36373,141.424,68,"logbook"
Cal5,QDC0_ch4,1000,1786794828,53044,53044,39409,938.962,0.858981,114.057,0.56745,1650,68,"logbook; alignment check failed, Cal1 high"
