scan_id,energy_mev,run,axis,table_h_cm,table_v_cm,table_dx_cm,table_dy_cm,root_file_ready,use_by_default,status,note
center_3gev,3000,1786868952,center,31.470,-3.696,0.000,0.000,yes,yes,ok,"CAL4 centered reference with FS0/FS1 included in DAQ"
center_1gev,1000,1786870373,center,31.470,-3.696,0.000,0.000,yes,yes,ok,"CAL4 centered low-energy reference"
h_m1_3gev,3000,1786872460,horizontal,30.468,-3.696,-1.002,0.000,yes,yes,ok,"first horizontal controlled table step from center"
h_m2_3gev,3000,1786873403,horizontal,29.467,-3.696,-2.003,0.000,yes,yes,ok,"second horizontal controlled table step from center"
h_m3_3gev,3000,1786874231,horizontal,28.465,-3.696,-3.005,0.000,yes,yes,ok,"third horizontal controlled table step from center"
h_m4_3gev,3000,1786876505,horizontal,27.463,-3.696,-4.007,0.000,yes,yes,ok,"fourth horizontal controlled table step from center"
h_m4_3gev_diagnostic,3000,1786877233,horizontal,27.463,-3.696,-4.007,0.000,yes,no,diagnostic,"run taken while diagnosing abnormal QDC ch0/ch1 behavior and Cal1 moved to ch17; exclude from default trend"
h_m4_3gev_post_diagnostic,3000,1786878223,horizontal,27.463,-3.696,-4.007,0.000,no,no,missing_root,"logbook gives run number after diagnostic sequence, but ROOT file is not present locally"
v_p1_3gev,3000,1786882172,vertical,31.476,-2.690,0.006,1.006,yes,yes,ok,"beam described as 1 cm lower from CAL4 center"
v_p2_3gev,3000,1786883073,vertical,31.476,-1.694,0.006,2.002,yes,yes,ok,"beam described as 2 cm lower from CAL4 center"
v_p3_3gev,3000,1786883648,vertical,31.476,-0.696,0.006,3.000,yes,yes,ok,"beam described as 3 cm lower from CAL4 center"
v_p4_3gev,3000,1786884479,vertical,31.476,0.310,0.006,4.006,yes,yes,ok,"beam described as 4 cm lower from CAL4 center"
v_p5_3gev_original,3000,1786885113,vertical,31.476,1.310,0.006,5.006,yes,no,faulty,"5 cm lower run; logbook says previous data was a bit faulty"
v_p5_3gev_redo,3000,1786887458,vertical,31.476,1.310,0.006,5.006,yes,yes,redo,"preferred redo for 5 cm lower point"
v_p5_1gev,1000,1786890116,vertical,31.476,1.310,0.006,5.006,yes,yes,ok,"1 GeV low-energy vertical scan at +5 cm"
v_p4_1gev,1000,1786891010,vertical,31.476,0.310,0.006,4.006,yes,yes,corrected_from_timestamp,"logbook repeats 1786890116, but start time 16:36:50 corresponds to 1786891010 and the ROOT file exists"
v_p3_1gev,1000,1786891837,vertical,31.476,-0.689,0.006,3.007,yes,yes,ok,"1 GeV low-energy vertical scan at about +3 cm"
v_p2_1gev,1000,1786892766,vertical,31.476,-1.689,0.006,2.007,yes,yes,ok,"1 GeV low-energy vertical scan at about +2 cm"
v_p1_1gev,1000,1786893316,vertical,31.476,-2.689,0.006,1.007,yes,yes,ok,"1 GeV low-energy vertical scan at about +1 cm"
h_m1_1gev,1000,1786894793,horizontal,30.473,-3.696,-0.997,0.000,yes,yes,ok,"1 GeV horizontal scan at about -1 cm"
h_m2_1gev,1000,1786895892,horizontal,29.475,-3.696,-1.995,0.000,yes,yes,ok,"1 GeV horizontal scan at about -2 cm"
h_m3_1gev,1000,1786903064,horizontal,28.479,-3.696,-2.991,0.000,yes,yes,ok,"1 GeV horizontal scan at about -3 cm"
h_m4_1gev,1000,1786903854,horizontal,27.476,-3.696,-3.994,0.000,yes,yes,ok,"1 GeV horizontal scan at about -4 cm"
