time_window_ns,min_pixels,clusters,clusters_over_evttrg,clusters_over_corbo,corr100ms,busy200_corbos_with_cluster,busy200_clusters_in_windows
200,1,233132,2.0965,4.9185,0.953022,36998,144289
200,2,145488,1.3084,3.0694,0.952373,33755,90168
200,3,45359,0.4079,0.9570,0.948450,19116,27929
200,4,28511,0.2564,0.6015,0.943591,13503,17502
200,5,14323,0.1288,0.3022,0.937538,7456,8747
200,6,10049,0.0904,0.2120,0.933271,5340,6119
200,8,6383,0.0574,0.1347,0.921703,3467,3843
50,3,45101,0.4056,0.9515,0.948407,19018,27740
100,3,45368,0.4080,0.9572,0.948405,19115,27930
500,3,45349,0.4078,0.9568,0.948448,19116,27919
1000,3,45346,0.4078,0.9567,0.948442,19116,27915
