run_number,root_file,tdaq_start_local,tdaq_end_local,tdaq_entries,status,reason,nearest_before_measurement,nearest_before_gap_s,nearest_before_end_local,nearest_after_measurement,nearest_after_gap_s,nearest_after_start_local
1781199933,/Users/berare/BL4S/TDAQ_stateofArt/1781199933.root,2026-06-11T19:45:33+02:00,2026-06-11T19:45:33+02:00,116787,ok,run is before first available TimePix measurement,,,,0,5854565.606,2026-08-18T14:01:38+02:00
1781200098,/Users/berare/BL4S/TDAQ_stateofArt/1781200098.root,2026-06-11T19:48:18+02:00,2026-06-11T19:48:18+02:00,102695,ok,run is before first available TimePix measurement,,,,0,5854400.606,2026-08-18T14:01:38+02:00
1781200248,/Users/berare/BL4S/TDAQ_stateofArt/1781200248.root,2026-06-11T19:50:48+02:00,2026-06-11T19:50:48+02:00,102451,ok,run is before first available TimePix measurement,,,,0,5854250.606,2026-08-18T14:01:38+02:00
1781200414,/Users/berare/BL4S/TDAQ_stateofArt/1781200414.root,2026-06-11T19:53:34+02:00,2026-06-11T19:53:34+02:00,122990,ok,run is before first available TimePix measurement,,,,0,5854084.606,2026-08-18T14:01:38+02:00
1781200594,/Users/berare/BL4S/TDAQ_stateofArt/1781200594.root,2026-06-11T19:56:34+02:00,2026-06-11T19:56:34+02:00,135776,ok,run is before first available TimePix measurement,,,,0,5853904.606,2026-08-18T14:01:38+02:00
1781200773,/Users/berare/BL4S/TDAQ_stateofArt/1781200773.root,2026-06-11T19:59:33+02:00,2026-06-11T19:59:33+02:00,128476,ok,run is before first available TimePix measurement,,,,0,5853725.606,2026-08-18T14:01:38+02:00
1781253147,/Users/berare/BL4S/TDAQ_stateofArt/1781253147.root,2026-06-12T10:32:27+02:00,2026-06-12T10:32:27+02:00,188810,ok,run is before first available TimePix measurement,,,,0,5801351.606,2026-08-18T14:01:38+02:00
1781253396,/Users/berare/BL4S/TDAQ_stateofArt/1781253396.root,2026-06-12T10:36:36+02:00,2026-06-12T10:36:36+02:00,159960,ok,run is before first available TimePix measurement,,,,0,5801102.606,2026-08-18T14:01:38+02:00
1781253617,/Users/berare/BL4S/TDAQ_stateofArt/1781253617.root,2026-06-12T10:40:17+02:00,2026-06-12T10:40:17+02:00,236599,ok,run is before first available TimePix measurement,,,,0,5800881.606,2026-08-18T14:01:38+02:00
1781346892,/Users/berare/BL4S/TDAQ_stateofArt/1781346892.root,2026-06-13T12:34:52+02:00,2026-06-13T12:34:52+02:00,45445,ok,run is before first available TimePix measurement,,,,0,5707606.606,2026-08-18T14:01:38+02:00
