timepix_measurement_id,timepix_file,timepix_trigger_file,timepix_start_unix,timepix_start_utc,timepix_trigger_end_unix,timepix_trigger_end_utc,tdaq_run_number,tdaq_root_file,tdaq_start_unix,tdaq_start_utc,tdaq_end_unix,tdaq_end_utc,tdaq_elapsed_seconds,tdaq_scaler_branch,tdaq_scaler_wraps,tdaq_entries,match_method,overlap_seconds,timepix_start_minus_tdaq_start_seconds
0,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_trigger.txt,1787054498.606000,2026-08-18T12:01:38.606000+00:00,,,1787049075,/Users/berare/BL4S/TDAQ_stateofArt/1787049075.root,1787049075.000000,2026-08-18T10:31:15+00:00,1787066526.200000,2026-08-18T15:22:06.200000+00:00,17451.200000,Scaler0_ch15,4,274068,timepix_start_inside_tdaq,0.000000,5423.606000
2,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_2.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_2_trigger.txt,1787054923.967000,2026-08-18T12:08:43.967000+00:00,1787054935.131754,2026-08-18T12:08:55.131754+00:00,1787049075,/Users/berare/BL4S/TDAQ_stateofArt/1787049075.root,1787049075.000000,2026-08-18T10:31:15+00:00,1787066526.200000,2026-08-18T15:22:06.200000+00:00,17451.200000,Scaler0_ch15,4,274068,overlap,11.164754,5848.967000
3,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_3.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_3_trigger.txt,1787062694.331000,2026-08-18T14:18:14.331000+00:00,1787062696.662680,2026-08-18T14:18:16.662680+00:00,1787058277,/Users/berare/BL4S/TDAQ_stateofArt/1787058277.root,1787058277.000000,2026-08-18T13:04:37+00:00,1787087630.400000,2026-08-18T21:13:50.400000+00:00,29353.400000,Scaler0_ch15,6,744709,overlap,2.331680,4417.331000
4,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_4.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_4_trigger.txt,1787062733.965000,2026-08-18T14:18:53.965000+00:00,1787062751.855417,2026-08-18T14:19:11.855417+00:00,1787058277,/Users/berare/BL4S/TDAQ_stateofArt/1787058277.root,1787058277.000000,2026-08-18T13:04:37+00:00,1787087630.400000,2026-08-18T21:13:50.400000+00:00,29353.400000,Scaler0_ch15,6,744709,overlap,17.890418,4456.965000
5,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_5.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_5_trigger.txt,1787064633.221000,2026-08-18T14:50:33.221000+00:00,1787064693.220862,2026-08-18T14:51:33.220862+00:00,1787058277,/Users/berare/BL4S/TDAQ_stateofArt/1787058277.root,1787058277.000000,2026-08-18T13:04:37+00:00,1787087630.400000,2026-08-18T21:13:50.400000+00:00,29353.400000,Scaler0_ch15,6,744709,overlap,59.999862,6356.221000
6,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_6.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_6_trigger.txt,1787064940.651000,2026-08-18T14:55:40.651000+00:00,1787064998.282108,2026-08-18T14:56:38.282108+00:00,1787058277,/Users/berare/BL4S/TDAQ_stateofArt/1787058277.root,1787058277.000000,2026-08-18T13:04:37+00:00,1787087630.400000,2026-08-18T21:13:50.400000+00:00,29353.400000,Scaler0_ch15,6,744709,overlap,57.631108,6663.651000
7,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_7.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_7_trigger.txt,1787080554.016000,2026-08-18T19:15:54.016000+00:00,1787080595.875318,2026-08-18T19:16:35.875318+00:00,1787058277,/Users/berare/BL4S/TDAQ_stateofArt/1787058277.root,1787058277.000000,2026-08-18T13:04:37+00:00,1787087630.400000,2026-08-18T21:13:50.400000+00:00,29353.400000,Scaler0_ch15,6,744709,overlap,41.859318,22277.016000
8,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_8.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_8_trigger.txt,1787080615.226000,2026-08-18T19:16:55.226000+00:00,1787080673.972198,2026-08-18T19:17:53.972198+00:00,1787058277,/Users/berare/BL4S/TDAQ_stateofArt/1787058277.root,1787058277.000000,2026-08-18T13:04:37+00:00,1787087630.400000,2026-08-18T21:13:50.400000+00:00,29353.400000,Scaler0_ch15,6,744709,overlap,58.746197,22338.226000
9,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_9.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_9_trigger.txt,1787081420.159000,2026-08-18T19:30:20.159000+00:00,1787081480.158959,2026-08-18T19:31:20.158959+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,near_tdaq_start,56.158959,-3.841000
10,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_10.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_10_trigger.txt,1787081481.399000,2026-08-18T19:31:21.399000+00:00,1787081537.937945,2026-08-18T19:32:17.937945+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,near_tdaq_start,56.538945,57.399000
11,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_11.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_11_trigger.txt,1787081542.609000,2026-08-18T19:32:22.609000+00:00,1787081595.579025,2026-08-18T19:33:15.579025+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,near_tdaq_start,52.970025,118.609000
12,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_12.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_12_trigger.txt,1787081603.814000,2026-08-18T19:33:23.814000+00:00,1787081653.161310,2026-08-18T19:34:13.161310+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,near_tdaq_start,49.347310,179.814000
13,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_13.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_13_trigger.txt,1787081665.025000,2026-08-18T19:34:25.025000+00:00,1787081710.758802,2026-08-18T19:35:10.758802+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,45.733802,241.025000
14,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_14.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_14_trigger.txt,1787081726.237000,2026-08-18T19:35:26.237000+00:00,1787081768.368186,2026-08-18T19:36:08.368186+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,42.131186,302.237000
15,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_15.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_15_trigger.txt,1787081787.448000,2026-08-18T19:36:27.448000+00:00,1787081825.985421,2026-08-18T19:37:05.985421+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,38.537421,363.448000
16,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_16.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_16_trigger.txt,1787081848.660000,2026-08-18T19:37:28.660000+00:00,1787081903.981840,2026-08-18T19:38:23.981840+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,55.321840,424.660000
17,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_17.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_17_trigger.txt,1787081909.871000,2026-08-18T19:38:29.871000+00:00,1787081941.151919,2026-08-18T19:39:01.151919+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,31.280919,485.871000
18,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_18.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_18_trigger.txt,1787081971.082000,2026-08-18T19:39:31.082000+00:00,1787082019.174618,2026-08-18T19:40:19.174618+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,48.092618,547.082000
19,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_19.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_19_trigger.txt,1787082032.295000,2026-08-18T19:40:32.295000+00:00,1787082056.374766,2026-08-18T19:40:56.374766+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,24.079766,608.295000
20,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_20.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_20_trigger.txt,1787082093.507000,2026-08-18T19:41:33.507000+00:00,1787082151.162099,2026-08-18T19:42:31.162099+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,57.655099,669.507000
21,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_21.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_21_trigger.txt,1787082154.716000,2026-08-18T19:42:34.716000+00:00,1787082208.726517,2026-08-18T19:43:28.726517+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,54.010517,730.716000
22,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_22.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_22_trigger.txt,1787082215.928000,2026-08-18T19:43:35.928000+00:00,1787082266.364598,2026-08-18T19:44:26.364598+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,50.436598,791.928000
23,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_23.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_23_trigger.txt,1787082277.141000,2026-08-18T19:44:37.141000+00:00,1787082323.959811,2026-08-18T19:45:23.959811+00:00,1787081424,/Users/berare/BL4S/TDAQ_stateofArt/1787081424.root,1787081424.000000,2026-08-18T19:30:24+00:00,1787087099.450000,2026-08-18T21:04:59.450000+00:00,5675.450000,Scaler0_ch15,1,69157,overlap,46.818811,853.141000
24,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_24.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_24_trigger.txt,1787088539.381000,2026-08-18T21:28:59.381000+00:00,,,1787088562,/Users/berare/BL4S/TDAQ_stateofArt/1787088562.root,1787088562.000000,2026-08-18T21:29:22+00:00,1787088649.631400,2026-08-18T21:30:49.631400+00:00,87.631400,Scaler0_ch15,0,3637,near_tdaq_start,0.000000,-22.619000
25,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_25.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_25_trigger.txt,1787088555.594000,2026-08-18T21:29:15.594000+00:00,,,1787088562,/Users/berare/BL4S/TDAQ_stateofArt/1787088562.root,1787088562.000000,2026-08-18T21:29:22+00:00,1787088649.631400,2026-08-18T21:30:49.631400+00:00,87.631400,Scaler0_ch15,0,3637,near_tdaq_start,0.000000,-6.406000
26,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_26.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_26_trigger.txt,1787088555.794000,2026-08-18T21:29:15.794000+00:00,,,1787088562,/Users/berare/BL4S/TDAQ_stateofArt/1787088562.root,1787088562.000000,2026-08-18T21:29:22+00:00,1787088649.631400,2026-08-18T21:30:49.631400+00:00,87.631400,Scaler0_ch15,0,3637,near_tdaq_start,0.000000,-6.206000
27,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_27.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_27_trigger.txt,1787088556.007000,2026-08-18T21:29:16.007000+00:00,,,1787088562,/Users/berare/BL4S/TDAQ_stateofArt/1787088562.root,1787088562.000000,2026-08-18T21:29:22+00:00,1787088649.631400,2026-08-18T21:30:49.631400+00:00,87.631400,Scaler0_ch15,0,3637,near_tdaq_start,0.000000,-5.993000
28,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_28.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_28_trigger.txt,1787088560.185000,2026-08-18T21:29:20.185000+00:00,1787088592.766796,2026-08-18T21:29:52.766796+00:00,1787088562,/Users/berare/BL4S/TDAQ_stateofArt/1787088562.root,1787088562.000000,2026-08-18T21:29:22+00:00,1787088649.631400,2026-08-18T21:30:49.631400+00:00,87.631400,Scaler0_ch15,0,3637,near_tdaq_start,30.766796,-1.815000
29,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_29.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_29_trigger.txt,1787088621.087000,2026-08-18T21:30:21.087000+00:00,1787088650.245668,2026-08-18T21:30:50.245668+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,near_tdaq_start,0.000000,-33.913000
30,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_30.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_30_trigger.txt,1787088654.894000,2026-08-18T21:30:54.894000+00:00,1787088707.963473,2026-08-18T21:31:47.963473+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,near_tdaq_start,52.963473,-0.106000
31,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_31.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_31_trigger.txt,1787088716.108000,2026-08-18T21:31:56.108000+00:00,1787088765.573433,2026-08-18T21:32:45.573433+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,near_tdaq_start,49.465433,61.108000
32,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_32.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_32_trigger.txt,1787088777.320000,2026-08-18T21:32:57.320000+00:00,1787088823.129801,2026-08-18T21:33:43.129801+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,near_tdaq_start,45.809801,122.320000
33,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_33.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_33_trigger.txt,1787088838.536000,2026-08-18T21:33:58.536000+00:00,1787088880.745511,2026-08-18T21:34:40.745511+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,42.209511,183.536000
34,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_34.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_34_trigger.txt,1787088899.747000,2026-08-18T21:34:59.747000+00:00,1787088938.365020,2026-08-18T21:35:38.365020+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,38.618020,244.747000
35,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_35.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_35_trigger.txt,1787088960.958000,2026-08-18T21:36:00.958000+00:00,1787088995.947097,2026-08-18T21:36:35.947097+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,34.989097,305.958000
36,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_36.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_36_trigger.txt,1787089022.170000,2026-08-18T21:37:02.170000+00:00,1787089053.566691,2026-08-18T21:37:33.566691+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,31.396691,367.170000
37,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_37.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_37_trigger.txt,1787089083.382000,2026-08-18T21:38:03.382000+00:00,1787089139.968471,2026-08-18T21:38:59.968471+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,56.586471,428.382000
38,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_38.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_38_trigger.txt,1787089144.596000,2026-08-18T21:39:04.596000+00:00,1787089168.746120,2026-08-18T21:39:28.746120+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,24.150120,489.596000
39,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_39.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_39_trigger.txt,1787089205.808000,2026-08-18T21:40:05.808000+00:00,1787089255.167569,2026-08-18T21:40:55.167569+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,49.359569,550.808000
40,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_40.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_40_trigger.txt,1787089267.021000,2026-08-18T21:41:07.021000+00:00,1787089283.982376,2026-08-18T21:41:23.982376+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,16.961376,612.021000
41,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_41.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_41_trigger.txt,1787089328.238000,2026-08-18T21:42:08.238000+00:00,1787089370.365537,2026-08-18T21:42:50.365537+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,42.127537,673.238000
42,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_42.txt,/Users/berare/BL4S/TDAQ_stateofArt/dataTimePix/measurement_42_trigger.txt,1787089389.449000,2026-08-18T21:43:09.449000+00:00,1787089399.136204,2026-08-18T21:43:19.136204+00:00,1787088655,/Users/berare/BL4S/TDAQ_stateofArt/1787088655.root,1787088655.000000,2026-08-18T21:30:55+00:00,1787166770.400000,2026-08-19T19:12:50.400000+00:00,78115.400000,Scaler0_ch15,18,1482805,overlap,9.687204,734.449000
