run_number,root_file,tdaq_start_local,tdaq_end_local,tdaq_elapsed_s,tdaq_entries,scaler_branch,scaler_wraps,status,match_quality,timepix_measurement_range,timepix_count,timepix_start_local,timepix_end_local,overlap_measurement_range,overlap_count,nearest_only_count
1781199933,/Users/berare/BL4S/TDAQ_stateofArt/1781199933.root,2026-06-11T19:45:33+02:00,2026-06-11T19:45:33+02:00,0.000000,116787,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781200098,/Users/berare/BL4S/TDAQ_stateofArt/1781200098.root,2026-06-11T19:48:18+02:00,2026-06-11T19:48:18+02:00,0.000000,102695,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781200248,/Users/berare/BL4S/TDAQ_stateofArt/1781200248.root,2026-06-11T19:50:48+02:00,2026-06-11T19:50:48+02:00,0.000000,102451,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781200414,/Users/berare/BL4S/TDAQ_stateofArt/1781200414.root,2026-06-11T19:53:34+02:00,2026-06-11T19:53:34+02:00,0.000000,122990,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781200594,/Users/berare/BL4S/TDAQ_stateofArt/1781200594.root,2026-06-11T19:56:34+02:00,2026-06-11T19:56:34+02:00,0.000000,135776,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781200773,/Users/berare/BL4S/TDAQ_stateofArt/1781200773.root,2026-06-11T19:59:33+02:00,2026-06-11T19:59:33+02:00,0.000000,128476,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781253147,/Users/berare/BL4S/TDAQ_stateofArt/1781253147.root,2026-06-12T10:32:27+02:00,2026-06-12T10:32:27+02:00,0.000000,188810,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781253396,/Users/berare/BL4S/TDAQ_stateofArt/1781253396.root,2026-06-12T10:36:36+02:00,2026-06-12T10:36:36+02:00,0.000000,159960,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781253617,/Users/berare/BL4S/TDAQ_stateofArt/1781253617.root,2026-06-12T10:40:17+02:00,2026-06-12T10:40:17+02:00,0.000000,236599,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781346892,/Users/berare/BL4S/TDAQ_stateofArt/1781346892.root,2026-06-13T12:34:52+02:00,2026-06-13T12:34:52+02:00,0.000000,45445,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781353013,/Users/berare/BL4S/TDAQ_stateofArt/1781353013.root,2026-06-13T14:16:53+02:00,2026-06-13T14:16:56+02:00,3.490600,94888,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
